timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2026-07-23T15:37:04.688Z,camera_0,,560,47.0368,2,"[{""bbox"":[104,173,517,478]},{""bbox"":[46,0,210,113]}]"
2026-07-23T15:37:06.566Z,camera_0,,570,47.1624,2,"[{""bbox"":[107,175,524,478]},{""bbox"":[46,0,210,113]}]"
2026-07-23T15:37:08.691Z,camera_0,,580,47.557,2,"[{""bbox"":[109,175,530,478]},{""bbox"":[46,0,210,113]}]"
2026-07-23T15:37:10.593Z,camera_0,,590,47.4766,2,"[{""bbox"":[104,175,526,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:12.425Z,camera_0,,600,47.7725,2,"[{""bbox"":[101,175,526,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:14.494Z,camera_0,,610,47.6738,2,"[{""bbox"":[100,175,524,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:18.269Z,camera_0,,620,47.7725,2,"[{""bbox"":[99,175,524,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:19.158Z,camera_0,,630,47.6341,2,"[{""bbox"":[99,176,524,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:20.074Z,camera_0,,640,47.6341,2,"[{""bbox"":[99,176,524,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:21.413Z,camera_0,,650,47.7324,2,"[{""bbox"":[97,176,523,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:22.607Z,camera_0,,660,47.7324,2,"[{""bbox"":[97,176,523,478]},{""bbox"":[47,0,209,111]}]"
2026-07-23T15:37:24.188Z,camera_0,,670,41.8789,1,"[{""bbox"":[97,176,523,478]}]"
2026-07-23T15:37:25.617Z,camera_0,,680,47.8105,2,"[{""bbox"":[96,176,523,478]},{""bbox"":[46,0,206,112]}]"
2026-07-23T15:37:27.913Z,camera_0,,690,47.6139,2,"[{""bbox"":[98,176,523,478]},{""bbox"":[46,0,206,112]}]"
2026-07-23T15:37:28.993Z,camera_0,,700,47.6139,2,"[{""bbox"":[97,176,522,478]},{""bbox"":[46,0,206,112]}]"
2026-07-23T15:37:29.992Z,camera_0,,710,47.6963,2,"[{""bbox"":[96,176,522,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:31.061Z,camera_0,,720,47.6963,2,"[{""bbox"":[96,176,522,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:32.635Z,camera_0,,730,47.6963,2,"[{""bbox"":[95,176,521,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:33.495Z,camera_0,,740,47.5358,2,"[{""bbox"":[97,176,521,478]},{""bbox"":[46,0,208,111]}]"
2026-07-23T15:37:36.295Z,camera_0,,750,47.5719,2,"[{""bbox"":[99,176,523,478]},{""bbox"":[46,0,209,111]}]"
2026-07-23T15:37:37.185Z,camera_0,,760,47.2637,2,"[{""bbox"":[99,177,522,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:38.062Z,camera_0,,770,47.1657,2,"[{""bbox"":[100,177,522,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:38.921Z,camera_0,,780,47.5576,2,"[{""bbox"":[98,177,524,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:39.887Z,camera_0,,790,47.3617,2,"[{""bbox"":[98,177,522,478]},{""bbox"":[46,0,207,111]}]"
2026-07-23T15:37:41.100Z,camera_0,,800,41.6423,1,"[{""bbox"":[97,177,522,478]}]"
2026-07-23T15:37:42.033Z,camera_0,,810,41.6423,1,"[{""bbox"":[97,177,522,478]}]"
2026-07-23T15:37:43.601Z,camera_0,,820,41.5443,1,"[{""bbox"":[98,177,522,478]}]"
2026-07-23T15:37:44.470Z,camera_0,,830,47.4072,2,"[{""bbox"":[97,177,522,478]},{""bbox"":[47,0,208,110]}]"
2026-07-23T15:37:45.461Z,camera_0,,840,47.4072,2,"[{""bbox"":[97,177,522,478]},{""bbox"":[47,0,208,110]}]"
2026-07-23T15:37:46.520Z,camera_0,,850,47.3092,2,"[{""bbox"":[98,177,522,478]},{""bbox"":[47,0,208,110]}]"
2026-07-23T15:37:47.384Z,camera_0,,860,47.5052,2,"[{""bbox"":[96,177,522,478]},{""bbox"":[47,0,208,110]}]"
2026-07-23T15:37:48.261Z,camera_0,,870,41.9362,1,"[{""bbox"":[94,177,522,478]}]"
2026-07-23T15:37:49.145Z,camera_0,,880,41.8382,1,"[{""bbox"":[95,177,522,478]}]"
2026-07-23T15:37:50.000Z,camera_0,,890,41.7402,1,"[{""bbox"":[96,177,522,478]}]"
2026-07-23T15:37:51.942Z,camera_0,,900,42.5332,1,"[{""bbox"":[97,172,524,478]}]"
2026-07-23T15:37:57.591Z,camera_0,,910,52.6888,3,"[{""bbox"":[121,164,525,478]},{""bbox"":[47,0,211,114]},{""bbox"":[0,328,108,479]}]"
2026-07-23T15:38:00.347Z,camera_0,,920,50.7236,3,"[{""bbox"":[133,169,524,478]},{""bbox"":[47,0,211,114]},{""bbox"":[0,328,108,479]}]"
2026-07-23T15:38:02.233Z,camera_0,,930,49.2406,3,"[{""bbox"":[141,173,524,478]},{""bbox"":[47,0,209,112]},{""bbox"":[0,328,108,479]}]"
2026-07-23T15:38:04.396Z,camera_0,,940,48.498,3,"[{""bbox"":[145,175,523,478]},{""bbox"":[47,0,209,112]},{""bbox"":[0,328,108,479]}]"
2026-07-23T15:38:10.088Z,camera_0,,950,42.9681,2,"[{""bbox"":[148,176,525,478]},{""bbox"":[47,0,209,112]}]"
2026-07-23T15:38:13.121Z,camera_0,,960,45.5889,2,"[{""bbox"":[125,177,530,478]},{""bbox"":[47,0,209,112]}]"
2026-07-23T15:38:18.787Z,camera_0,,970,40.918,1,"[{""bbox"":[114,178,533,478]}]"
2026-07-23T15:38:20.484Z,camera_0,,980,41.5039,1,"[{""bbox"":[109,178,534,478]}]"
2026-07-23T15:38:21.877Z,camera_0,,990,41.9922,1,"[{""bbox"":[103,178,533,478]}]"
2026-07-23T15:38:22.787Z,camera_0,,1000,42.2852,1,"[{""bbox"":[100,178,533,478]}]"
2026-07-23T15:38:24.068Z,camera_0,,1010,42.2852,1,"[{""bbox"":[98,178,531,478]}]"
2026-07-23T15:38:25.668Z,camera_0,,1020,42.2852,1,"[{""bbox"":[98,178,531,478]}]"
2026-07-23T15:38:27.688Z,camera_0,,1030,42.1875,1,"[{""bbox"":[99,178,531,478]}]"
2026-07-23T15:38:29.690Z,camera_0,,1040,41.9495,1,"[{""bbox"":[100,179,531,478]}]"
2026-07-23T15:38:31.201Z,camera_0,,1050,41.9495,1,"[{""bbox"":[99,179,530,478]}]"
2026-07-23T15:38:32.045Z,camera_0,,1060,42.2415,1,"[{""bbox"":[97,179,531,478]}]"
2026-07-23T15:38:33.586Z,camera_0,,1070,48.306,2,"[{""bbox"":[96,179,532,478]},{""bbox"":[47,0,208,112]}]"
2026-07-23T15:38:34.699Z,camera_0,,1080,48.5615,2,"[{""bbox"":[97,179,536,478]},{""bbox"":[47,0,207,112]}]"
2026-07-23T15:38:35.674Z,camera_0,,1090,48.0612,2,"[{""bbox"":[99,191,551,478]},{""bbox"":[47,0,207,112]}]"
2026-07-23T15:38:36.769Z,camera_0,,1100,45.5003,2,"[{""bbox"":[132,209,585,478]},{""bbox"":[47,0,207,112]}]"
2026-07-23T15:38:37.890Z,camera_0,,1110,43.3962,2,"[{""bbox"":[157,221,606,478]},{""bbox"":[47,0,207,112]}]"
2026-07-23T15:38:38.849Z,camera_0,,1120,42.0026,2,"[{""bbox"":[175,228,619,478]},{""bbox"":[47,0,208,112]}]"
2026-07-23T15:38:39.893Z,camera_0,,1130,41.4655,2,"[{""bbox"":[177,235,627,478]},{""bbox"":[47,0,208,112]}]"
2026-07-23T15:38:41.751Z,camera_0,,1140,40.7135,2,"[{""bbox"":[185,238,631,478]},{""bbox"":[47,0,208,112]}]"
2026-07-23T15:38:42.690Z,camera_0,,1150,40.4128,2,"[{""bbox"":[190,239,634,478]},{""bbox"":[47,0,208,112]}]"
2026-07-23T15:38:43.833Z,camera_0,,1160,34.1768,1,"[{""bbox"":[193,241,636,478]}]"
2026-07-23T15:38:45.257Z,camera_0,,1170,33.8118,1,"[{""bbox"":[195,243,637,478]}]"
2026-07-23T15:38:46.249Z,camera_0,,1180,33.9792,1,"[{""bbox"":[189,245,637,478]}]"
2026-07-23T15:38:47.410Z,camera_0,,1190,33.8379,1,"[{""bbox"":[187,247,637,478]}]"
2026-07-23T15:38:48.470Z,camera_0,,1200,33.8411,1,"[{""bbox"":[185,248,637,478]}]"
2026-07-23T15:38:49.302Z,camera_0,,1210,33.8411,1,"[{""bbox"":[185,248,637,478]}]"
2026-07-23T15:38:50.992Z,camera_0,,1220,34.6396,1,"[{""bbox"":[181,241,630,478]}]"
2026-07-23T15:38:52.317Z,camera_0,,1230,38.3174,1,"[{""bbox"":[133,217,584,478]}]"
2026-07-23T15:38:53.155Z,camera_0,,1240,40.1042,1,"[{""bbox"":[110,203,558,478]}]"
2026-07-23T15:38:55.826Z,camera_0,,1250,46.791,2,"[{""bbox"":[99,194,542,478]},{""bbox"":[46,0,209,110]}]"
2026-07-23T15:38:57.903Z,camera_0,,1260,47.3239,2,"[{""bbox"":[93,189,534,478]},{""bbox"":[46,0,209,110]}]"
2026-07-23T15:38:59.148Z,camera_0,,1270,47.8027,2,"[{""bbox"":[89,185,529,478]},{""bbox"":[46,0,209,110]}]"
2026-07-23T15:39:00.315Z,camera_0,,1280,50.6413,2,"[{""bbox"":[83,182,548,478]},{""bbox"":[46,0,209,110]}]"
2026-07-23T15:39:01.761Z,camera_0,,1290,46.5625,1,"[{""bbox"":[82,180,562,478]}]"
2026-07-23T15:39:02.766Z,camera_0,,1300,47.4001,1,"[{""bbox"":[82,179,569,478]}]"
2026-07-23T15:39:04.473Z,camera_0,,1310,47.984,1,"[{""bbox"":[81,179,574,478]}]"
2026-07-23T15:39:05.699Z,camera_0,,1320,48.3734,1,"[{""bbox"":[79,179,576,478]}]"
2026-07-23T15:39:06.663Z,camera_0,,1330,47.4974,1,"[{""bbox"":[91,179,579,478]}]"
2026-07-23T15:39:09.492Z,camera_0,,1340,47.0703,1,"[{""bbox"":[97,178,579,478]}]"
2026-07-23T15:39:10.360Z,camera_0,,1350,47.168,1,"[{""bbox"":[98,178,581,478]}]"
2026-07-23T15:39:11.275Z,camera_0,,1360,46.875,1,"[{""bbox"":[100,178,580,478]}]"
2026-07-23T15:39:14.389Z,camera_0,,1370,48.6999,2,"[{""bbox"":[92,180,580,478]},{""bbox"":[7,0,89,51]}]"
2026-07-23T15:39:15.362Z,camera_0,,1380,48.2962,2,"[{""bbox"":[106,182,592,478]},{""bbox"":[14,0,96,55]}]"
2026-07-23T15:39:16.783Z,camera_0,,1390,53.4785,3,"[{""bbox"":[116,182,598,478]},{""bbox"":[18,0,100,57]},{""bbox"":[68,17,222,127]}]"
2026-07-23T15:39:18.595Z,camera_0,,1400,54.1243,3,"[{""bbox"":[118,181,605,478]},{""bbox"":[19,0,102,56]},{""bbox"":[68,15,221,126]}]"
2026-07-23T15:39:20.698Z,camera_0,,1410,53.6927,3,"[{""bbox"":[122,181,605,478]},{""bbox"":[21,0,103,55]},{""bbox"":[68,13,221,124]}]"
2026-07-23T15:39:21.659Z,camera_0,,1420,53.8499,3,"[{""bbox"":[124,180,607,478]},{""bbox"":[21,0,103,55]},{""bbox"":[68,13,221,124]}]"
2026-07-23T15:39:23.784Z,camera_0,,1430,54.141,3,"[{""bbox"":[122,180,608,478]},{""bbox"":[21,0,103,55]},{""bbox"":[68,13,221,124]}]"
2026-07-23T15:39:26.089Z,camera_0,,1440,54.141,3,"[{""bbox"":[124,180,610,478]},{""bbox"":[21,0,103,55]},{""bbox"":[68,13,221,124]}]"
2026-07-23T15:39:27.167Z,camera_0,,1450,48.4818,2,"[{""bbox"":[125,180,609,478]},{""bbox"":[23,0,107,56]}]"
2026-07-23T15:39:28.736Z,camera_0,,1460,48.3848,2,"[{""bbox"":[128,180,611,478]},{""bbox"":[23,0,107,56]}]"
