timestamp,event_id,risk,state,frame_id,num_rois,hour
2026-09-15T17:17:12.386Z,camera_0,event_1789492630515,0.6533,critical,265,1,23
2026-09-15T17:19:40.712Z,camera_0,event_1789492779224,0.6623,critical,395,1,23
2026-09-15T17:36:51.412Z,camera_0,event_1789493810636,0.6526,critical,149,1,23
2026-09-15T17:40:04.776Z,camera_0,event_1789494003252,0.6667,critical,430,2,23
2026-09-15T17:48:16.928Z,camera_0,event_1789494496883,0.6525,critical,11,1,23
2026-09-15T17:54:43.560Z,camera_0,event_1789494883457,0.7464,critical,20,2,23
2026-09-15T17:58:01.658Z,camera_0,event_1789495081604,0.6538,critical,5,2,23
2026-09-15T18:02:03.728Z,camera_0,event_1789495321973,0.6674,critical,410,2,-1
2026-09-15T18:13:16.810Z,camera_0,event_1789495996539,0.7541,critical,50,3,-1
2026-09-15T18:14:29.690Z,camera_0,event_1789496068308,0.7535,critical,172,3,-1
2026-09-15T18:20:37.556Z,camera_0,event_1789496435632,0.6606,critical,892,3,-1
2026-09-15T18:22:25.097Z,camera_0,event_1789496542949,0.6517,critical,983,2,-1
2026-09-15T18:23:58.744Z,camera_0,event_1789496637232,0.6653,critical,1094,2,-1
2026-09-15T18:24:19.022Z,camera_0,event_1789496655794,0.665,critical,1124,2,-1
2026-09-15T18:27:04.412Z,camera_0,event_1789496824378,0.681,critical,7,3,-1
2026-09-15T18:33:03.140Z,camera_0,event_1789497182340,0.6913,critical,171,9,-1
2026-09-15T18:34:12.190Z,camera_0,event_1789497250996,0.6506,critical,294,1,-1
